# Generated by scripts/gen-oui.py from the IEEE MA-L registry. Do not edit.
# prefix,vendor
001E46,Arris
001E49,Cisco
001E4A,Cisco
001E4C,Foxconn
001E4F,Dell
001E52,Apple
001E58,D-Link
001E5A,Arris
001E64,Intel
001E65,Intel
001E67,Intel
001E68,Quanta
001E6B,Cisco
001E73,ZTE
001E74,Sagemcom
001E75,LG
001E79,Cisco
001E7A,Cisco
001E7D,Samsung
001E8C,ASUSTek
001E8D,Arris
001E8F,Canon
001EA3,Nokia
001EA4,Nokia
001EA7,Actiontec
001EA9,Nintendo
001EB2,LG
001EBD,Cisco
001EBE,Cisco
001EC0,Microchip
001EC1,3Com
001EC2,Apple
001EC9,Dell
001ECF,Philips
001EDC,Sony
001EE1,Samsung
001EE2,Samsung
001EE5,Linksys
001EEC,Compal
001EF6,Cisco
001EF7,Cisco
001F00,Nokia
001F01,Nokia
001F12,Juniper
001F16,Wistron
001F1F,Edimax
001F26,Cisco
001F27,Cisco
001F29,HP
001F32,Nintendo
001F33,Netgear
001F3A,Foxconn
001F3B,Intel
001F3C,Intel
001F3F,AVM
001F41,Ruckus
001F45,Extreme
001F55,Honeywell
001F5B,Apple
001F5C,Nokia
001F5D,Nokia
001F6B,LG
001F6C,Cisco
001F6D,Cisco
001F7E,Arris
001F90,Actiontec
001F92,Motorola
001F95,Sagemcom
001F9D,Cisco
001F9E,Cisco
001F9F,Technicolor
001FA7,Sony
001FBD,Kyocera
001FC4,Arris
001FC5,Nintendo
001FC6,ASUSTek
001FC9,Cisco
001FCA,Cisco
001FCC,Samsung
001FCD,Samsung
001FCF,MSI
001FD0,Gigabyte
001FDE,Nokia
001FDF,Nokia
001FE1,Foxconn
001FE2,Foxconn
001FE3,LG
001FE4,Sony
001FF3,Apple
002037,Seagate
00203D,Honeywell
002040,Arris
002075,Motorola
00207B,Intel
0020AA,Ericsson
0020AF,3Com
0020D9,Panasonic
0020E0,Actiontec
0020ED,Gigabyte
0020F2,VirtualBox
002108,Nokia
002109,Nokia
002119,Samsung
00211B,Cisco
00211C,Cisco
00211E,Arris
002127,TP-Link
002128,VirtualBox
002129,Linksys
002136,Arris
002143,Arris
002147,Nintendo
00214C,Samsung
002155,Cisco
002156,Cisco
002159,Juniper
00215A,HP
00215C,Intel
00215D,Intel
002163,Askey
00216A,Intel
00216B,Intel
002170,Dell
002180,Arris
002185,MSI
002191,D-Link
00219B,Dell
00219E,Sony
0021A0,Cisco
0021A1,Cisco
0021AA,Nokia
0021AB,Nokia
0021BA,TI
0021BD,Nintendo
0021BE,Cisco
0021D1,Samsung
0021D2,Samsung
0021D7,Cisco
0021D8,Cisco
0021E8,Murata
0021E9,Apple
0021F6,VirtualBox
0021FB,LG
0021FC,Nokia
0021FE,Nokia
00220C,Cisco
00220D,Cisco
002210,Arris
002215,ASUSTek
002219,Dell
00223A,Cisco
00223F,Netgear
002241,Apple
002243,AzureWave
002248,Microsoft
00224C,Nintendo
002255,Cisco
002256,Cisco
002257,3Com
00225F,Liteon
002264,HP
002265,Nokia
002266,Nokia
002268,Foxconn
002269,Foxconn
00226A,Honeywell
00226B,Linksys
002275,Belkin
002277,NEC
00227F,Ruckus
002283,Juniper
002290,Cisco
002291,Cisco
002293,ZTE
002294,Kyocera
002298,Sony
0022A1,Huawei
0022A5,TI
0022A6,Sony
0022A9,LG
0022AA,Nintendo
0022B0,D-Link
